Name,Text
"Gerard, Son of Jacobus","Gerard, Son of Jacobus  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK A STAFF MEMBER TO CONSULT THE ACCESSION  RECORDS."
Gerbier,"Gerbier,     Papers, 1792 Paris, France  Josiah C. Trent Collection in the History of Medicine--s. Div.  4-8-60"
"Gerhardt, William","Gerhardt, William Papers, 1832-1909 Martinsburg, Berkeley Co., W. Vae  Section A 34 items l item added,  8~3-66 9-5-67"
"Gerhardt, William","Gerhardt, William. Papers, 1832-1909 Martinsburg, Berkeley Co., We Va.     William Gerhardt was born in 1817 in Germany and moved with his family to Pa. After being graduated from Gettysburg College in 1841, he attended Gettysburg Seminary for one year. He served as a clergyman, teacher, and school  administrator at various places in Pa., Md., N. C.e,,and W. Vas He was the first professor at the“ western Carolina Male Academy founded in 1855 at Mt. Pleasant, N. C. He remained in"
"Gerhardt, William","Gerhardt, William 2     N. C. until 1863 at which time he moved to Martinsburg where he lived until his death in 1917.  Among the more notable items in this collection are a series of contracts whereby a William Gearhart agreed to teach in several towns in Pa. and Md. from 1833 to 1843.  Items from Gerhardt's residence in N. C. include two programs for Examination Day exercises and a schedule for classes at the Western Carolina Male Academy (1855-1857)."
"Gerhardt, William","Gerhardt, William 3     Other papers of interest are genealogical material and a list of contributors to a fund to liquidate the debts of a German church in the U. S.  Several letters in this collection were written in German in a small, almost illegible script. An index to some family papers is  written on an envelope and possibly identifies these remaining items.  A short biographical sketch of Gerhardt can be found in Willis F. Evans, History of"
"Gerhardt, William","Gerhardt, William Berkeley County, West Virginia, p. 168. For additional biographical information, see Clyde B. Stover and Charles W. Beachen, Alumni Records of Gettysburg -Colleze, 1832- 1932, p. 10d.  l item added, 9-5-67: A notice from Gerhardt to S. A. Grabill concerning dues owed to the Knights of Pythias, Sept. 3, 1909."
"Germain, George Sackville, First Viscount Sackville","Germain, George Sackville, First Viscount Sackville  Papers, 1779  London, England  XVIII-E 10-27-59"
"Germain, George Sackville, First Viscount Sackville","Germain, George Sackville, First Viscount Sackville. Papers, 1779. London, England.     George Sackville Germain, First Viscount Sackville (1716-1785) was known as such from 1770-1782, as Lord George Sackville from 1720 to 1770, and as George Sackville Germain, First Viscount Sackville from 1782 to 1785. This  collection contains a letter of December 13, 1779, to Lord George. Germain, then British Sec- retary of State for the colonies, from Gen.  Sir Henry Clinton, Sr., then commander of the  British forces in the U.S. Clinton discusses  the"
"Germain, George Sackville, First Viscount Sackville","Germain, George Sackville, First Viscount Sack- ville 2 unsuccessful Siege of Savannah (Sept.-Oct., 1779) by French and American forces under the commands of Count D'Estaing of France and U. 8. Gen. Benjamin Lincoln, Jr. (1733-1810); praises the gallantry of the British resistance; and     seconds Gen. Augustine Prevost's recommendation to reward Capt. James Moncrieff,  Clinton reports the loss of the British war- ship, Experiment, together with 30,000 pounds, Which he had sent in that ship with Gen. Garth; but Gen. Leslie arrived_safely with 15,000"
"Germain, George Sackville, First Viscount Sackville","Germain, George Sackville, First Viscount Sack- ville 5 pounds, Gen. McLean cAllan MacLean’; 1s to write to Lord George Germain by the frigate which Admiral Sir George Collier sent to England with the dccount of the complete destruction of the American Naval Squadron in the unsuccessful     Penobacot Expedition (June-Aug., 1779). Lt. Ca (later Gen,) Robert Donkin has sailed with some troops to reinforce thé Bermuda Garrison, which seems to have been one of the objects of > ' D'Estaing's visit to the coast.  Accompanying the letter is a schedule of en-"
"Germain, George Sackville, First Viscount Sackville","Germain, George Sackville, First Viscount Sack- ville 4 closures to the letter, but the enclosures them- selves are not included in the collection. Most of the items are letters among several of the aforementioned persons. One item listed is a Casualty return for the siege; another, a list of French ships under Count D'Estaing off the coast of Ga."
"Germain, Lord George","GERMAIN, LORD GEORGE (1716-1785)  See: Germain, George Sackville, First Vis-  count Sackville"
German Scrapbooks on the Imperial Family,German Scrapbooks on the Imperial Family  1888-1898  Germany 3065-3066 & 6-7-71  See also bound volume cards  41 items & 2 vols.
German Scrapbooks on the Imperial Family,"German Scrapbooks on the Imperial Family. Germany     The two scrapbooks and the loose clippings found within them include newspaper cuttings, broadsides, pamphlets, announcements, special issues of publications, etc., about the German imperial family during 1888-1898. The two  volumes almost entirely concern the death and funeral of Kaiser Wilhelm I in 1888. The loose clippings of 1890-1898 include items about the death of the Kaiserin Augusta, wife of Wilhelm I, in 1890, the centenary in 1897 of the birth of Wilhelm I (a few 6} are at the end of"
German Scrapbooks on the Imperial Family,"German Scrapbooks on the Imperial Family one of the scrapbooks), and other matters. Some of the publications are illustrated."
German Scrapbooks on the Imperial Family,"German Scrapbooks on the Imperial Family     German Scrapbook on the Imperial t- 3065 Family, 1888 —--"
German Scrapbooks on the Imperial Family,"German Scrapbooks on the Imperial Family     Geman Scrapbook on the Imperial F- 3066 Family, 1888-1897"
German-American Mutual Loan And Bldg. Association,"GERMAN-AMERICAN MUTUAL LOAN AND BLDG. ASSOC, <& Papers, 1886-1893  Qa  Savannah, Ga,  Section A, 23 pieces  (Taken from coll. accessioned Panegs)"
German-American Mutual Loan And Bldg. Association,"GERMAN-AMERICAN MUTUAL LOAN AND BLDG. ASSOC, Papers, 1886-93 Savannah, Ga, 23 pieces     Cancelled stock certificates in the German- American Mutual Loan and Bldg. Association,"
"Germanisches Nationalmuseum, Nuremberg","Germanisches Nationalmuseum, Nuremberg  See Nuremberg. Germanisches Nationalmuseum"
Germany,"Germany  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK  A STAFF MEMBER TO CONSULT THE ACCESSION RECORDS."
"Germany, Air Ministry",Germany. Air Ministry  See Germany. Reichluftfahrtministerium
"Germany, Army High Command",Germany. Army. High Command.  See Germany. Wehrmacht. Oberkommando
"Germany, Auswartiges Amt. Archivkommission","Germany. Auswartiges Amt. Archivkommission Papers, 1835-1905 Berlin, Germany  SEE SHELF LIST 317 items 8-20-82"
"Germany, Auswartiges Amt. Archivkommission","Germany. Auswartiges Amt. Archivkommission. Papers. Berlin, Germany     This collection is a group of Bismarck docu- ments in facsimile published by the Auswdrtiges Amts. According to the description of the docu- ments by Professor Frederic B. M. Hollyday they as a group give great insight into the way  Chancellor Otto von Bismarck ran the foreign service of Germany. Matters of form in drafting documents was very important to him. This in- terest even when he was immersed in die grosse  Politik is revealed in the documents in this"
"Germany, Auswartiges Amt. Archivkommission","Germany. Auswartiges Amt. Archivkommission. 2 ° collection. It is also valuable for showing Bismarck's relationships with others, particu- larly, Emperor William I."
"Germany, Auswartiges Amt. Archivkommission","MARHSSCREPTS tn Nel S papers ana Germany. Auswartiges Amt WMevAsns  German Foreign Ministry Archives, 1867- 1920, Whaddon Hall, England. ed by General Library, University of California, Berkeley.  433 Reels (Series T-149) 35 mm.  6-22-65"
"Germany, Auswartiges Amt. Archivkommission","Germany. Auswartiges Amt. German Foreign Ministry Archives, 1867-1920  The contents of each reel are described in California, University, Library, An Index of     German Foreign Ministry Archives, 1867-1920. ed at Whaddon Hall for the General Li- brary, University of California, Berkeley (Ber- keley, 1957).  The library has the following reels: Series I: Reels: 91, Parts 1-3; 99, Pts. 1-2; 106- 108, 137-141, 154, 158, 167, 256, 262, 273, 275, 292, 312, 321, j¢4 yg"
"Germany, Auswartiges Amt. Archivkommission","fr New a . » yo 07.,  Lep?.  Germany. Ausw¥rtiges Amt  Papers on Karl Radek, 1917-1920 1 reel Positive  3-11-71"
"Germany, Auswartiges Amt. Archivkommission","Germany. AuswHrtiges Amt. Papers on Karl Radek     Karl Radek (1885-19397), Soviet propagandist, went to Russia with Lenin, took part in the Brest-Litovsk peace negotiations, and was active in Germany during 1918-1919. He was imprisoned there in February-December, 1919."
"Germany, Auswartiges Amt. Archivkommission","7 pyre  Germany. Auswartiges Amt. (ire tilons [Records of the German Foreign Office received by Dept. of State] London, Foreign Office/State Department German War Documents  Project, 1945?- 80 reels. (National Archives Microcopy No. T-120) Library has: (See card 3)   copy (negative) of a collectiond records, corresvondence, etc, made by"
"Germany, Auswartiges Amt. Archivkommission","2  Germany. Auswartiges Amt. [Records of the German Foreign Office received by Dept. of State]... 1945?-  National Archives  Publications. For a discussion of the methods by which the documents for filming were chosen and a  translation into English of documents for the period 1918-1945, see: Germany. Auswartiges Amt. Documents on German foreign policy, 1918-1945. Washington, 1949-"
"Germany, Auswartiges Amt. Archivkommission","Germany. Auswartiges Amt. 3  Reels 1313-14, 1340-42, 1388, 1492-93, 1538- 39, 1554-57, 1560, 1564, 1567, 1578-79, 1591-93, 1683-86, 1708-11, 1779-83, 2293-95, 2378-80, 2383, 2419, 2581, 2673, 2676, 2682, 2760, 2810- 11, 2903, 2999, 3002-5, 3026, 3221, 3251, 3255- 58, 3269, 3280, 3283-86, 3313, 3422-28, 3495, 3519, 3631, 3663, 3944-45, 4777  — Quel Name sreo autdletonafp tele  =); VY ra? Por ee F . = CE Neco =” gil celal ~ Lenot MM, 2 podiins hem  Lalit Dottin go . @"
"Germany, Foreign Office",Germany. Foreign Office  See Germany. Auswdrtiges Amt.
