Name,Text
"Sener, James Beverly","Sener, James Beverly Letters. 1878 Fredericksburg, Virginia  Section A  2 pieces"
"Sener, James Beverly","Sener, James Beverly . 1878 Fredericksburg, Va.  Sener was born at Fredericksburg, Va. in 1837. After graduating from the University of. Virginia, he studied law at Lexington, Va. and  Was admitted to the bar in 18680. From 1663-65 he Was sheriff of Fredericksburg, and from  1862-65 he was correspondent for ,the Southern associated press With Lee's army. From 1865 to"
"Sener, J . B","Sener, J. B. 2  1875 he was editor of the Rredericksburg Ledger. He was & delegate from Virginia to the yational Republican Convention in 1872 : and 1876, and served on Republican committees 1876-1880. He served as first chairman on  the committee on expenditures in the depart—     ment of Justice. He was Chief Justive in Wyoming territory,1879-1884,  The collection contains letters con- cerning Sener's appointment to ,the Federal  judgeship,"
"Senseney, J .","Senseney, J.  Ledger, 1837-1860  Winchester, Frederick Co., Va. 608 pp. Calf 54 1-2 x 22 cm. 7-29-58  GUIDE"
"Senter, Isaac","senter, Isaac. Papers, 1790. Newport, Newport Co., Rhode Island.  Josiah ©. Trent Collection in the 1 item. History of Medicine--MS.. Div.  4-8-60"
"Senter, Isaac","senter, Isaac, Papers, 1790. Newport, R. I. 1 item. Sketch.        Isaac Senter (1753-1799) was a student of Dr Thomas Moffat, surgeon to R. I. troops in the Revolutionary War, physician and Surgeon general of R. I., author, and president of the Society of the Cincinnati of R. I. His account to Capt. Benjamin Fry, Nov. 8, 1787, to Aug. 4, 1792, includes medical treatments, visits, and medi- cines."
"Settle, David","Settle, Davide  Papers, 1884-1888.  15 itemse  UeSe Marshal for the Western North Carolina Districte  Letter books and account books kept by David Settle, whose office was in Greensboro, NeCe (Guilford County )e Correspondence chiefly concerns law enforcement, and the account books contain records of salaries paid to deputy marshalse  Unprocessed collectione Cataloged from accession recorde  *pJj  11. JUL 95 32794896 NDHYme SEE NEXT CRD"
"Settle, David","Settle, Davide Papers, cee (Card 2)  le Law enforcement-—-North Carolinae 2e Police--North Carolinae Ge United Statese Marshals Servicee 4+e United States marshalse Se Greensboro (NeCe)e 6¢ Guilford County (NeCe)e Te Genre: Account bookse Se Genre: Letter bookse  11 JUL 95 32794896 NDHYme"
"Settle, Hiram","Settle, Hiram  Papers, 1879-1891  Elkin, Surry Co., N.C. Section A 22 items  9-24-59"
"Settle, Hiram","Settle, Hiram. Papers, 1879-1891. Elkin, worry Co... N. C. 22 items. Sketch. Chiefly minutes and other papers of the Cool Spring Baptist Church, Wilkes County, N. C-, of which Hiram Settle was Clerk."
