Name,Text
"Dow, George Francis","Dow, George. Francis  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK  A STAFF MEMBER TO CONSULT THE ACCESSION RECORDS."
"Dow, Neal","e Sece A, 6th 17:2B Dow, Neale Letter, 1896. 1 iteme Portland (Cumberland Coe), Mee residente Collection consists of a letter concerning the ""Maine Law"" and temperance reforme Cataloged from Guidee *les  1e Temperance--Mainee 2e Portland (Mee )—-—-Historye  11 MAY 98 39100430 NDHYme"
"Dow, Neal","Dow, Neal. Papers. Portland, Cumberland Co., Me,     Neal Dow was born in 1804 in Portland, Maine where he eventually became a partner in his father's tanning business. After establishing himself as one of the city's leading business- men, he entered politics and was elected mayor.  During his incumbency, he conducted a vigorous campaign to restrict the sale and use of alco- holic beverages. He was instrumental in the  passage of the “Maine Law,"" legislation de- signed to facilitate temperance reform. Dow"
"Dow, Neal","Dow, Neal 2 became one of the nation's leading prohibition- ists. He also served as a brigadier general  of volunteers in the Union Army, though he was dismissed from the Society of Friends for his military involvement. After the Civil War, he resumed his crusade for temperance reform and in 1880 ran for the Presidency as the candidate     of the Prohibition Party. He continued as an active reformer until his death in 1897.  In a letter of March 13, 1896, Dow cites the ""Maine Law"" as a ""great power for good"" and one"
"Dow, Neal","Dow, Neal 3 of the principal reasons for this state's rapid social and economic progress."
"Dowd, A.J.","Dowd, A J {Raleigh?], North Carolina  Section A 5 pieces  NOV5 1999  Nov e 20, 1934,"
"Dowd, A.J.","Dowd, A.J.s . 1864-1865 North Sarolina  The collection contains 5 Civil War let— ters. Dowd was a private the in North Carolina Confederate forces. The letters are typical of  the semi-illiterate soldier who was more con- cerned with family affairs at home and what was to become of him when the war was over than he was in campaigns and strategy."
Down family,"Down familye  Letters, 1797-1803-  7 itemse  Chiefly Letters to Captain Down in England, from a few men in Charleston, SeCe, who were evidently employed to assist in settling a dispute involving We Je Somers's estatee Somers was Down's father-in-law and Lived in the Charleston areae There is also information relating to Down's brother, who was Living in South Carolina, and a letter from one of Down's nieces to her aunt in Englande  10 MAY 93 28081359 NDHYme SEE NEXT CRD"
Down family,"Down familye Letters, eee (Card 2)  1. Real property——-South Carolina-—- Charlestone e Inheritance and succession-—-South Carolina--Charlestone  Se Somers; We Je—-Wille 4e British-—- South Carolinae Ie Down, Edwarde  10 MAY 93 28081359 NDHYme"
"Downes, Edward","Downes, Edward Papers, 1775-1784 Queen Annes County, Maryland  Cab. 81 6 items & 1 vol.  2-14-84"
