Name,Text
"Johnson, J. H.","Johnson, J. H. f Papers, ca. 1915-1921. 200 items (0.5 lin. ft.)  Correspondence, memorandum books, and other papers of J. H. Johnson, a federal prohibition agent in Greensboro, N.C.  Gift: 8/6/92  Accessioned: 12/28/92  Acc. No.: 92-104"
"Johnson, J. R. Autograph","Johnson, J. R. Autograph Album, 1863-64 Johnson's Island, Ohio  Autographs of Confederate prisoners,"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. Papers, 1915-1955  Clinton, Sampson Co., and Raleigh, Wake Co., North Carolina  SEE SHELF UST 1820 items  1-10-69"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr, Papers. Clinton, Sampson Co., and Raleigh, Wake Co., North Carolina     Jefferson Deems Johnson, Jr., was born in Garland, N. C., on June 6, 1900. He graduated from Trinity College in 1923 and from Duke Law School in 1926. From 1926 to 1941 he practiced  law in Clinton, N. C., and served in the N. C. Senate from 1937 to 1941. In July, 1941, Gov. J. Melville Broughton, a personal friend,  appointed Johnson to a special Superior Court"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. 2 judgeship for the Eastern North Carolina Dis- trict where he served until 1945. He then returned to the practice of law in Clinton, and there he remained until 1950. In 1948 he was state campaign manager for Broughton in his successful campaign for the U. S. Senate from North Carolina. In 1950 he was campaign manager     for Frank Porter Graham in his unsuccessful campaign against Willis Smith for the U. S. Senate from North Carolina.. Gov. Kerr Scott appointed Johnson to the N. C. Supreme Court"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. S| in 1950. From 1941 to 1953 Johnson was a member of an advisory committee on the recodifi- cation of N. C. Statute Law; from 1948 to 1950, a member of the N. C. board of law examiners. He was for awhile trustee of Duke University. He died on June 19, 1960.  This collection consists of correspondence;     legislative papers; drafts and notes for John- son's speeches; general papers on the campaign in N. C. for the U. S. Senate in 1948; printed material and clippings about J. Melville"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. 4 Broughton; general papers, printed material, and clippings on the U. S. senatorial campaign of 1950 in N. C.; and miscellaneous clippings and printed material.  The three boxes of correspondence (1928-1955) contain letters dealing almost entirely with Johnson's political career. The letters from     1937 to 1941 are mainly routine correspondence  about Johnson's activities in the N. C. Senate. There is much material in 1948 on the Broughton campaign for the U. S. Senate, including"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. be memoranda, form letters, requests for support, and lists of campaign workers. The most detailed information is from Sampson County, Johnson's home county. For 1950 the letters deal with the Graham campaign in some detail, particularly with the Graham organization. There is some correspondence with the C. I. 0.'s Political     Action Committee on labor support for Graham. There are few letters after 1950.  The box of legislative papers (1937-1941) contains some petitions on local prohibition"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr.  measures in Sampson County and much material  on tobacco production and marketing quotas  under the Agricultural Adjustment Administration, There are drafts of bills on tobacco crop quotas for N. C, and drafts of revenue measures.  The box of drafts and notes for Johnson's addresses (1930-1946) contains little material of a political nature. Except for a few speech- es in support of Franklin D. Roosevelt in 1944, most of this material is religious or patriotic.  There is one box of general papers on the"
"Johnson, Jefferson Deems","Johnson, Jefferson Deems, Jr. 4 campaign in N. C. for the U. S. Senate in 1948, Much of the material is on the Broughton organization, which Johnson headed, and includes lists of campaign workers and county managers, mailing lists, memos from Broughton to Johnson, notes on telephone conversations, press releases, newspaper advertising, drafts of some of Brough- ton's speeches, and election returns. Another box of printed matter and clippings on Broughton (1944-1949) contains some material on Broughton's campaign for the Democratic vice-presidential"
