Name,Text
"Hubbard, Adeline And Benjamin","HUBBARD, Adeline and Benjamin a  Scrapbooksand Journals, 1803-1841, Rindge, New Hampshire,  6 vols,  June 14, toupee e pales  MAb rg vin) 2 26 - od ct TN. i. SEK. Ltrana."
"Hubbard, Adeline","128 Deposit 134  Hubbard, Adeline  Scrap Book, 1837-1841  Rindge, N.H. 90 pp. Boards and leather 25 x 20 cm, Miss Alice M. Baldwin  Woman's College Duke University  Wy tp Drain yi _ 2- ~“@ S3erL ew oN H.  Pele Rb nareg"
"Hubbard, Adeline","(292 128 Deposit  Hubbard, Adeline  Scranbook (in writing), 1839  Rindce, N.H. 80 pp. Boards & Leather 25 x 15  Miss Alice M. Baldwin Woman's Collere Duke University  AR,"
"Hubbard, Benjamin","HUBBARD, Benjamin"
"Hubbard, Benjamin","Ls Deposit Hubbard, Benjamin Day Journal, 1819-1830 Rindge, N. H.  Miss Alice M, Baldwin uy  VWoman's College Duke University  1994  Wht > 2-86-88 ark aE te 77. Pf."
,Vol III  150 pp Peper 20 cm.  With brace 2-26n53 anh ant 403  To 1. i Shs Ltrary . =
"Hubbard, Benjamin","128 HUBBARD, Benjamin Daily Vol IV  Rindge NH.  ‘ ‘ vas) , OV) wy 200 pp Paper¢ 2x 20 cm  Withdrece 2- 26-53 ah 2665 D  1 14 1939 NW. SOB patie: \14"
,To. Journa] j  Rindge N.H.  Oe  250 h i © ¢ - Or \ ny BC ras f 4 f ‘ersn Q anc X A val l ] <a 6 © 20 cm / e  Uitdne unr 4-26-S3 ork ae D  n. 4. Hole Ebnany Ss
"Hubbard, Benjamin","128  HUBBARD, Benjamin  VolVI 1839-1841  Pima 195 Da 4 <x Journal Daily  and Inventory of Hubbard's Estate Rindge,N.H.  aii Calf 40 x 16  pp. Poards é  ttt dnauend 2 26-53 arb sd G77 #-  23 ania. @ yrt®"
"Hubbard, Avery D.","Hubbard, Avery De  Diary, 1838-1871 and undated bulk 1838-1854,  1 item (106 pe).  Diary (1838-1839), as well as additional entries of a list of maple sugar customers and amounts paid (1841- 1845) and miscellaneous accounts and  notes (1847-1871 and undated )e Hubbard kept the brief diary while a student at Sunderland Academy in Sunderland, Massachusetts, and made some observations about life in the local community, such as a funerals  02 DEC &7 17158348 NDHYme SEE NEXT CRD"
"Hubbard, Avery D.","Hubbard, Avery De Diary, 1838-1871 and undated bulk o- (Card 2)  1. Maple sugar industry-- Massachusettse 2e Sunderland Academy (Sunderland, Masse)e 3e Massachusetts --Sunderland-—-Social Life and customs. 4. Genre: Diaries—--Massachusettse  02 DEC 87 17158348 NDHYme"
"Hubbard, Elbert","Hubbard, Elbert, 1856-1915.  Letters, 1901-1917.  9 itemse  Author and lecturer, proprietor of the Roycroft Shop, publisher of de luxe editions of the classics, Located in East Aurora, NeYe  Eight letters from Hubbard and one from his wife Alice to George Bicknell primarily relating to Roycroft publications and to Hubbard's lecturing activitiese  1. Roycroft Shope 2e Publishers and publishing—--New York (State)—-—-East Aurorae e Bicknell, Georgee Te Place: New York (State)—--Erie County-—-  East Aurorae a  12 MAY 87 15671631 NDHYme"
,
,
"Hubbard, Joel","Hubbard, Joel Letters, 1811-1855 Republican Grove, Halifax co., Va.  Section A °8 items  fem adasd 5 a LAs wni7 ’3! 7 ite “adde ds peer"
"Hubbard, Joel","Huobard, Joel. Letters, 1811-1855. Republican Grove, Halifax co., Va. 29 items. Sketch.     These letters refer to financial affairs, and the repayment of maney which Hubbard had loaned, Methods of transmitting money are referred to. Joel Hubbard may have been a minister, but the denomination is not indicated  1 item added 5-14-58: a letter (there is also a photostat of it) to Joel Hubbard from Eli Ball of the General Association of Virginia (Baptist) concerning the work of the association in gathering information about Batist Churches  in Virginia."
"Hubbard, Joel","Hubbard, Joel 2     l item added, 4-5-66: A letter to Hubbard from his cousin Jesse E. Adams, Jan. 12, 1849. Adams wrote concerning a visit of Hubbard's sons and a financial affair related to Hubbard  and himself."
"Hubbard, Samuel C.","Hubbard, Samuel C.  FOR INFORMATION ABOUT THIS COLLECTION OR ADDITIONS TO THIS COLLECTION, PLEASE ASK A STAFF MEMBER TO CONSULT THE ACCESSION  RECORDS."
"Hubbard, Wade H.","Hubbard, Wade H.  War Letters 1864- 1865.  Camp near Wilmington, North Carolina  Section A 20 pieces"
"Hubbard, Wade H.","Hubbard . Wade H. Historical Sketch (1) Camp near Wilmington, N.C. and Anson county North Carolina. War Lettera 1864- 1865     These . contain the letters of Wade H. Hubbard to his wife, Huldah Hubbard, her letters to him and a few letters of  E.A. Stewart from Timmonsville, S. C. to his aunt( evidently Mrs. Huldah Hubbard). Wade H. Hubbard's letters were written  from Camp Whitin [sic ], Camp Lamb and Camp Jackson, all near Wilmington , N. C., to his"
"Hubbard, Wade H.","Hubbard, Wade H. Historical Sketch (2)     wife in Anson county. Some of the letters are replies from his wife. They deal to a great extent with the activities of the farm,  but some of Hubbard's reveal the attitude  of the unlettered man toward the Civil  War and one gives a realistic description  of the Battle of Fort Fisher."
,Section A
,
,Section A
,
"Hubbell, Jay Broadus","Hubbell, Jay Broadus  Papers,  Durham,  1905-1986  (1885-1979)  Durham County, North Carolina  3473 4  25 60  ai  2  15  S  items items items items item  items items item  6-29-78 added 1-9-79 added 10-11-79added 5-10-81 added 10-31-84added 9-23-85 added 4-17-86 added"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus. Papers. Durham, Durham Co,, N.C,     Jay Broadus Hubbell, professor emeritus of American Literature at Duke University, was born May 8, 1885, in Smyth County, Virginia, the son of the Reverend David Shelton Hubbell and Ruth Eller Hubbell. He attended Windsor Academy, Windsor, Virginia, and Richmond Col- lege, Richmond, Virginia, now the University of Richmond, graduating with a B, A. degree in 1905. Following a vear of teaching Latin and"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 2 Greek at Bethel College, Russellville, Kentucky, he entered graduate school at Harvard University where he received his M.A. degree in 1908. Af- ter teaching at the University of North Carolina for a year, he enrolled at Columbia University from which he received his Ph.D. in 1922, Dur-     ing the intervening years he taught at Columbus, Georgia, High School, Wake Forest College, Southern Methodist University, and spent a year, 1918, at Field Artillery Central Officers Train- ing Camp, Camp Zachary Taylor, Kentucky. Dr."
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 3 Hubbell returned to SMU after receiving his doc- torate to become Chairman of the English Depart- ment and E, A, Lilly Professor of English. In 1927 Dr. Hubbell left SMU and became Professor of English at Duke University where he remained until his retirement in 1954.     Dr. Hubbell's principal interests throughout his career were Southern American Literature and journal publication. While at SMU he re- vived the Texas Review, enlarged its scope renaming it the Southwest Review, and per-"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 4 suaded SMU to back its publication, Upon coming to Duke, Dr. Hubbell proposed to the American Literature Section of the Modern Language Asso- ciation of America the creation of a journal de- voted solely to American Literature. His pro- posal was accepted and after many negotiations American Literature appeared in 1929 with Dr. Hubbell as Chairman of the Board of Editors, a post he held until his retirement, After that he served on the Board as Founding Editor. The history of American Literature is well document-"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus ao i ed in the American Literature Papers in the Jay B. Hubbell Center.  The Hubbell collection contains Dr. Hubbell's personal and professional papers, articles writ- ten at his request for the Jay B. Hubbell Cen- ter, printed materials inscribed to him and written by him, as well as unpublished manu-        scripts. The collection is divided into eight files: Biographical, Alphabetical, Chronolog- ical, Foreign Teaching, Miscellany, Pictures and Clippings, Writings by Dr. Hubbell, and Writings  by other persons."
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 6  Dr. Hubbell’s numerous activities, social and professional, are enumerated in the biographical material arranged chronologically in the first box of the collection. Also contained in this (Biographical) file are a few family letters and papers including 44 poems by his sister Ruth Hubbell.     The largest segment of the collection is correspondence from colleagues, former students, and literary figures of his era. These letters are alphabetically arranged by name of corre- spondent then chronologically within each folder"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 7 in the Alphabetical Files. The largest group of letters are from the poet, John Hall Wheelock, dating from 1921 when Dr. Hubbell wrote to him asking permission to use his poem, ""Earth,"" in an anthology he and John 0, Beaty were compiling for use in the classroom. Other major literary figures include Robert Frost, Ellen Glasgow,     Carl Sandburg, Allen Tate, and Hamlin Garland, An inventory list of the correspondents is placed at the front of the first box in the Al-  phabetical File,"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus 8     An additional group of miscellaneous Letters are arranged chronologically in the Chronologi- cal File. For the most part these are single letters from colleagues, publishers, and minor writers.  During his teaching career, Dr. Hubbell  served as Visiting Professor in American Liter- ature in the United States and abroad. Corre- spondence and incidentals relative to his teach- ing abroad may be found in the File labeled Foreign ‘Teaching. Twice Dr. Hubbell served as"
"Hubbell, Jay Broadus","Hubbell, Jay Broadus     Visiting Professor of American Literature and Expert to the Secretary of the United States Army at the University of Vienna. Correspond- ence pursuant to the Vienna tours is in the ""Vienna"" folders in the Foreign Teaching File. Additional accounts of his experiences there may  be found in his writings Lucinda and South and Southwest. In 1953 Dr. Hubbell served as Ful- bright Professor of American Literature and Civ- ilization at the University of Athens, Greece. His experience there is documented in the"
