Name,Text
"Thomas, James A.","Thomas, James Letters. 1860-1864  Co. Spar a, A orgia  Section AL  MAR 1 5 1935  11 pieces"
"Thomas, James A.","Thomas, James . 1860-1864 Sparta, Ga.  Business and legal letters."
"Thomas, James, Jr.","Thomas, James, Jr. .Papers, 1850-1879 Richmond, Virginia  14,086 items 2 items added,7-6-62"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch  Letters and Papers 1850-1879  Richmond, Vae _ __14,086 pieces  James Thomas, Jr. (Feb. 6,1806-1862), one of the most successful tobacco manufacturers of  Richmond in antebellum days, was born in Caroline county, Va., the son of James Thomas     who was a devout Methodist. The grand father of James Thomas, Jr. came from England and settled on the Rappahannock River in Va.  Thomas received a meager education from the common schools of Caroline county. As alyouth he"
"Thomas, James, Jr.","Thomas, James, Jr. 2 came to Richmond where his elder brother was living, This brother was probably Archibald. James, Jr. was certainly in Richmond by 1827 when he joined the Baptist church. For infor- mation about him and his family see ""Memorial of James Thomas, Jr."" in Virginia Pamphlets, 1880-99, No. 191.        Thomas was first married in- 1831 to Miss Cornick Puller of Caroline Co., Va. She died in 1836, leaving two children, Wm. D. and Mary Ella. In 1843 he was married a second time to Miss Mary Woolfolk Wortham of Richmond. They"
"Thomas, James, Jr.","Thomas, James, Jr. 3 had seven daughters and a son whom they named James. One of the daughters and the son died in infancy. The other six daughters married Jabez L. M, Curry, J. K. Connelly, Thomas M. Rutherford, James W. Allison, Calderon Carlisle, and Richmond Pearson. See the Jabez L. M, Curry Papers in this department.  The daughters attended the Virginia Baptist"
"Thomas, James, Jr.","Thomas, James Jr. Hist. Sketch (4)     Seminary before 1662 and later, while Living in Danville, Thomas sent them to Hollins Institute. During 1854 William D. Thomas attended the University of Va. Thomas usually carried his entire family té& the springs in the summer,,either to Botetourt or Sweet Spring Thomas began his career in tobacco as early as 1829 when he obtained the local agency to buy tobacco for the French government. The  French temporarily changed agents and in the interim Thomas dealt in #eas flour on the"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch (5)     commission basis before again obtaining: a  part of the French agency. Probably in 1830 or 1831 he began the manufacture of leaf tobacco in Richmond. By 1850 his business had reached mammoth proportions, brand s of his tobacco having become famous all over America and in many foreign countries. The most popular of his brands was a plug known as ""Wedding Cake"" though he manufactured many other brands both plug and twist. He virtually  held a monopoly on the eueeing trade with"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch (6)  California during the fifties. At the same time he carried on a tremendous business with John K. Gilliat and Company and Robert Edwards and Company in London, with H. H. Meier and Company of Bremen and with firms in Melbourne, Australia. ThOmas' business grew by leaps and     bounds from 1850 to 1860; he employed 150 hands and manufactured 1,100,000 pounds of chewing tobacco yearly. His business contin-  ued with remarkable success during the Civil War though in no sense was it what it had"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch (7)     been. In 1662 he established a factory in Danville attracted by the bright tobacco produced in that region. Officials high in the Confederate government sought his advice in ¥ financial matters, and after the war he was one of the signers of the bail of Jefferson Davis.  Thomas was noted for his public spirited actions.His devotion and generosity to the  Baptist church were remarkable. In 1859 during a Baptist convention he entertained sixty"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch (8)     Baptist preachers; such incidents caused Thomas home to be humorously designated as the ""Baptis Hotel"". When about 35 years of age, Thomas , emid hostility and indifference, went among hte business men of Richmond and raised $3,000 for the African church, He befriended Basil  Manly in his efforts to operate the Virginia Baptist Seminary, and when the institution was incorporated as Richmond College, he became  One of its trustees. At the time he lent the college $9,600 , and after the war he financed"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch (9)     the institution and saved it from closing its doors. He helped many young people to get an education and was directly responsible for the education of several of his nieces.  This collection of Thomas papers is largely © concerned with his business operatiohs. There are countless orders for tobagco from Maine, Boston, New Orleans, Georgia, Holland England anid Australia. The set has prices current  from various firms throughout the world. Some of Thomas' private papers are in the set"
"Thomas, James, Jr.","Thomas, James, Jr. Hist. Sketch 10     Including an occasional letter from such men as George Frederick Holmes and J. Le. M. Curry. From an economic standpoint the papers reveal much concerning the prices of all commodities from 1850 to 1863, but hhe revelation of the tobacco business is unusually remarkable. As a  whole this set seems to contain the complete records of one of the largest antebellum tobacco manufacturers from 1850-1863.  For further information see J. C.Robert, The Tobacco Interests in the Va.-Carolina Areg,     PP. 265-268. (Unpub @irenea thesis Duke Univ."
"Thomas, James, Jr.","Thomas, James, Jr. Li  2 items added, 7-6-62: <A letter and an account sheet concerning Thomas's business affairs in 1856."
Bex,"Bex |ist in  Thomas, James Augustus Tnventory File  Papers, 1900(1914-1940) 1978  Shanghai, China, and White Plains, West- chester Co., N. Y.  9 A-B 28,485 items Picture Cabs—tt-2 j 3 items added, 6-8-53 2-8-52 16 items removed, 1-3-66     (Entered in the National Union Catalog of Manu- scripts as James A. Thomas Papers)"
"Thomas, James Augustus","Thomas, James Augustus  Papers, 1900(1914-1940) 1978  Shanghai, China, and White Plains, West- chester Co., N. Y.  9 A-B 652 items added, 10-19-67 107 items added, 9-13-70  Prot Ca SS 3 items added, 5-23-85"
"Thomas, James Augustus","Thomas, James Augustus. Papers, 1985. Addition, 4 items. (.2 linear feet)  Shelf Location: 54:A  Typed transcript and three audiocassettes of an oral interview with Dorothy Q. Thomas, widow of James  A. Thomas, when Mrs. Thomas was ninety-three. Topics  include her life in China, as the daughter of Consul  General, Sheridan P. Read; Petrograd (now Leningrad,  Soviet Union) where she taught school briefly; and the (continued on next card)"
"Thomas, James Augustus","Thomas, James Augustus. (card 2)  social life and customs in Beijing and Shanghai after she married Thomas in 1922. Thomas was affiliated with the British American Tobacco Company. Mrs. Thomas was interviewed by Duke Professor Emeritus Richard Watson.  Transfer: 05/30/89  Accessioned: 06/15/89  Acc. No.: 89-036"
"Thomas, James Augustus","Thomas,James Augustus Papers, 1905-41 Sketch, Shanghai, China & White Plains,N.Y. 28,485 items     Thomas, James Augustus, retired mcht.; b. Lawsonville, Rockingham co., N.C., Mar. 6, 1862; s. Henry Evans and Cornelia Carolina (Jones) Thomas; grad, Eastman Nat. Business Coll., Poughkeepsie, N.Y., 1881; m, Anna, daughter of  Wm. Branson of Durham, N.C. on Apr. 27, 1918; she died in Nov. of ‘the same year; m. Dorothy Quincy Hancock, daughter of Sheridan Pitt Read, Nov. 21, 1922; children-James Augustus, Eleanor Lansing. Dir, British-Am, Tobacco Co., Ltd.,"
"Thomas, James A.","Thomas, James A, (2) British Cigarette Jo., (Chmn.) Mustard & Co, Ltd, 1905-22; retired, 1922. Introduced western ways into many countries in the Orient; pioneer in introduction of Am. cigarettes, 1888-1925, into Australia, Tasmania, New Zealand, India, Japan, China and other countries of the Far East; organized Chinese-Am. Bank of Commerce and established two schs. for Chinese; in China during Boxer Rebellion, 1900, Russo-Japanese War, 1904-05, Chinese rebellion of 1911. Life. mem, Chinese Red Cross; decorated by the Dalai Lama i 1905; also by the Empress Dowager of China, who"
"Thomas, James A.","Thomas, James A. (3) n 1905 made him a Orystal Button Mandarin; decorated 6th and 3d classes Order of the Golden Harvest; decorated Order of the Jade, Red Cravat with White & Blue Borders (China) 1937. Treas. China Famine Relief U.S.A., Inc, Chmn, China Child Welfare Inc.; Chmn. The Duke Memorial; Trustee Shanghai Am, School, Am. Hosp. of  Istanbul; Trustee Duke University; Dir. China Soc, of America; mem. bd. govs, White Plains, (N.Y.) Hosp.; charter associate Federal Council of Chs. of Christ in America; mem, Advisory Committee on Foreign Participation New York"
"Thomas, James A.","(4)     8 Fair 1930; mem. Church Committee for Brine Relief; Mem. Council on Foreign Relations, N,Y.; Mem. Exec, Comm, Am, Asiatic Ass.; Mem. Acad, Polit. Science.; Mem, American Inst. of Pacific Relations; Mei Am. Museum of Natural History; Mem, English Speaking Union; Mea Japan Soc, of N.Y.; Omicron Delta Kappa. Presbyterian.  Mason (32). Clubs: India House, Shanghai Tiffin (New York); Apawamis, Am. Yacht, Manursing Island (Rye; N.Y.); China Club of Seattle; Thatched House (London); American, Shanghai, Columbia Country (Shanghai). Author: A Pioneer"
"Thomas, James A.","Thomas, James A, oe (5)  Obacco Merchant in the Orient, 1928; Trailin Trade A Willion Miles, 1931. Home: North Street, White Plains, N. Y. Died Sept. 10, 1940,  The papers in this collection are concerned to a great degree with James A, Thomas's relation- ship to the organizations and institutions which are mentioned in the biographical sketch. gem. the years, even after he had left Ohina, he kep up an extensive correspondence with Chinese friends and acquaintances and with former busin- ess associates and other Americans and Britishers there and in London. He also acquired a wide"
